"","hMy_MLST","mgpB","cg_MLST","wg_SNP"
"hMy_MLST",0,44.7213595499958,31.7017349682947,41.5331193145904
"mgpB",44.7213595499958,0,37.1079506305589,24.5967477524977
"cg_MLST",31.7017349682947,37.1079506305589,0,36.1386219991853
"wg_SNP",41.5331193145904,24.5967477524977,36.1386219991853,0
